wav_file1,wav_file2,freq1,freq2,abs_dist,dist_semi,direction
427.5-2.wav,415.0-0.wav,427.5,415.0,50,50,1
415.0-0.wav,433.75-1.wav,415.0,433.75,75,75,2
433.75-1.wav,415.0-0.wav,433.75,415.0,75,75,1
440.0-0.wav,440.0-0.wav,440.0,440.0,0,0,0
440.0-0.wav,440.0-0.wav,440.0,440.0,0,0,0
440.0-0.wav,415.0-0.wav,440.0,415.0,100,-100,1
415.0-0.wav,440.0-0.wav,415.0,440.0,100,-100,2
440.0-0.wav,421.25-3.wav,440.0,421.25,75,-75,1
421.25-3.wav,440.0-0.wav,421.25,440.0,75,-75,2
440.0-0.wav,427.5-2.wav,440.0,427.5,50,-50,1
427.5-2.wav,440.0-0.wav,427.5,440.0,50,-50,2
440.0-0.wav,433.75-1.wav,440.0,433.75,25,-25,1
433.75-1.wav,440.0-0.wav,433.75,440.0,25,-25,2
440.0-0.wav,440.0-0.wav,440.0,440.0,0,0,2
440.0-0.wav,440.0-0.wav,440.0,440.0,0,0,2
440.0-0.wav,446.5-3.wav,440.0,446.5,25,25,2
446.5-3.wav,440.0-0.wav,446.5,440.0,25,25,1
440.0-0.wav,453.0-2.wav,440.0,453.0,50,50,2
453.0-2.wav,440.0-0.wav,453.0,440.0,50,50,1
440.0-0.wav,459.5-1.wav,440.0,459.5,75,75,2
459.5-1.wav,440.0-0.wav,459.5,440.0,75,75,1
466.0-0.wav,466.0-0.wav,466.0,466.0,0,0,0
466.0-0.wav,466.0-0.wav,466.0,466.0,0,0,0
466.0-0.wav,440.0-0.wav,466.0,440.0,100,-100,1
440.0-0.wav,466.0-0.wav,440.0,466.0,100,-100,2
466.0-0.wav,446.5-3.wav,466.0,446.5,75,-75,1
446.5-3.wav,466.0-0.wav,446.5,466.0,75,-75,2
466.0-0.wav,453.0-2.wav,466.0,453.0,50,-50,1
453.0-2.wav,466.0-0.wav,453.0,466.0,50,-50,2
466.0-0.wav,459.5-1.wav,466.0,459.5,25,-25,1
459.5-1.wav,466.0-0.wav,459.5,466.0,25,-25,2
466.0-0.wav,466.0-0.wav,466.0,466.0,0,0,2
466.0-0.wav,466.0-0.wav,466.0,466.0,0,0,2
466.0-0.wav,473.0-3.wav,466.0,473.0,25,25,2
473.0-3.wav,466.0-0.wav,473.0,466.0,25,25,1
466.0-0.wav,480.0-2.wav,466.0,480.0,50,50,2
480.0-2.wav,466.0-0.wav,480.0,466.0,50,50,1
466.0-0.wav,487.0-1.wav,466.0,487.0,75,75,2
487.0-1.wav,466.0-0.wav,487.0,466.0,75,75,1
494.0-0.wav,494.0-0.wav,494.0,494.0,0,0,0
494.0-0.wav,494.0-0.wav,494.0,494.0,0,0,0
494.0-0.wav,466.0-0.wav,494.0,466.0,100,-100,1
466.0-0.wav,494.0-0.wav,466.0,494.0,100,-100,2
494.0-0.wav,473.0-3.wav,494.0,473.0,75,-75,1
473.0-3.wav,494.0-0.wav,473.0,494.0,75,-75,2
494.0-0.wav,480.0-2.wav,494.0,480.0,50,-50,1
480.0-2.wav,494.0-0.wav,480.0,494.0,50,-50,2
494.0-0.wav,487.0-1.wav,494.0,487.0,25,-25,1
487.0-1.wav,494.0-0.wav,487.0,494.0,25,-25,2
494.0-0.wav,494.0-0.wav,494.0,494.0,0,0,2
494.0-0.wav,494.0-0.wav,494.0,494.0,0,0,2
494.0-0.wav,501.5-3.wav,494.0,501.5,25,25,2
501.5-3.wav,494.0-0.wav,501.5,494.0,25,25,1
494.0-0.wav,509.0-2.wav,494.0,509.0,50,50,2
509.0-2.wav,494.0-0.wav,509.0,494.0,50,50,1
494.0-0.wav,516.5-1.wav,494.0,516.5,75,75,2
516.5-1.wav,494.0-0.wav,516.5,494.0,75,75,1
524.0-0.wav,524.0-0.wav,524.0,524.0,0,0,0
524.0-0.wav,524.0-0.wav,524.0,524.0,0,0,0
524.0-0.wav,494.0-0.wav,524.0,494.0,100,-100,1
494.0-0.wav,524.0-0.wav,494.0,524.0,100,-100,2
524.0-0.wav,501.5-3.wav,524.0,501.5,75,-75,1
501.5-3.wav,524.0-0.wav,501.5,524.0,75,-75,2
524.0-0.wav,509.0-2.wav,524.0,509.0,50,-50,1
509.0-2.wav,524.0-0.wav,509.0,524.0,50,-50,2
524.0-0.wav,516.5-1.wav,524.0,516.5,25,-25,1
516.5-1.wav,524.0-0.wav,516.5,524.0,25,-25,2
524.0-0.wav,524.0-0.wav,524.0,524.0,0,0,2
524.0-0.wav,524.0-0.wav,524.0,524.0,0,0,2
524.0-0.wav,531.5-3.wav,524.0,531.5,25,25,2
531.5-3.wav,524.0-0.wav,531.5,524.0,25,25,1
524.0-0.wav,539.0-2.wav,524.0,539.0,50,50,2
539.0-2.wav,524.0-0.wav,539.0,524.0,50,50,1
524.0-0.wav,546.5-1.wav,524.0,546.5,75,75,2
546.5-1.wav,524.0-0.wav,546.5,524.0,75,75,1
554.0-0.wav,554.0-0.wav,554.0,554.0,0,0,0
554.0-0.wav,554.0-0.wav,554.0,554.0,0,0,0
554.0-0.wav,524.0-0.wav,554.0,524.0,100,-100,1
524.0-0.wav,554.0-0.wav,524.0,554.0,100,-100,2
554.0-0.wav,531.5-3.wav,554.0,531.5,75,-75,1
531.5-3.wav,554.0-0.wav,531.5,554.0,75,-75,2
554.0-0.wav,539.0-2.wav,554.0,539.0,50,-50,1
539.0-2.wav,554.0-0.wav,539.0,554.0,50,-50,2
554.0-0.wav,546.5-1.wav,554.0,546.5,25,-25,1
546.5-1.wav,554.0-0.wav,546.5,554.0,25,-25,2
554.0-0.wav,554.0-0.wav,554.0,554.0,0,0,2
554.0-0.wav,554.0-0.wav,554.0,554.0,0,0,2
554.0-0.wav,562.25-3.wav,554.0,562.25,25,25,2
562.25-3.wav,554.0-0.wav,562.25,554.0,25,25,1
554.0-0.wav,570.5-2.wav,554.0,570.5,50,50,2
570.5-2.wav,554.0-0.wav,570.5,554.0,50,50,1
554.0-0.wav,578.75-1.wav,554.0,578.75,75,75,2
578.75-1.wav,554.0-0.wav,578.75,554.0,75,75,1
587.0-0.wav,587.0-0.wav,587.0,587.0,0,0,0
587.0-0.wav,587.0-0.wav,587.0,587.0,0,0,0
587.0-0.wav,554.0-0.wav,587.0,554.0,100,-100,1
554.0-0.wav,587.0-0.wav,554.0,587.0,100,-100,2
587.0-0.wav,562.25-3.wav,587.0,562.25,75,-75,1
562.25-3.wav,587.0-0.wav,562.25,587.0,75,-75,2
587.0-0.wav,570.5-2.wav,587.0,570.5,50,-50,1
570.5-2.wav,587.0-0.wav,570.5,587.0,50,-50,2
587.0-0.wav,578.75-1.wav,587.0,578.75,25,-25,1
578.75-1.wav,587.0-0.wav,578.75,587.0,25,-25,2
587.0-0.wav,587.0-0.wav,587.0,587.0,0,0,2
587.0-0.wav,587.0-0.wav,587.0,587.0,0,0,2
587.0-0.wav,596.25-3.wav,587.0,596.25,25,25,2
596.25-3.wav,587.0-0.wav,596.25,587.0,25,25,1
587.0-0.wav,605.5-2.wav,587.0,605.5,50,50,2
605.5-2.wav,587.0-0.wav,605.5,587.0,50,50,1
587.0-0.wav,614.75-1.wav,587.0,614.75,75,75,2
614.75-1.wav,587.0-0.wav,614.75,587.0,75,75,1
624.0-0.wav,624.0-0.wav,624.0,624.0,0,0,0
624.0-0.wav,624.0-0.wav,624.0,624.0,0,0,0
624.0-0.wav,587.0-0.wav,624.0,587.0,100,-100,1
587.0-0.wav,624.0-0.wav,587.0,624.0,100,-100,2
624.0-0.wav,596.25-3.wav,624.0,596.25,75,-75,1
596.25-3.wav,624.0-0.wav,596.25,624.0,75,-75,2
624.0-0.wav,605.5-2.wav,624.0,605.5,50,-50,1
605.5-2.wav,624.0-0.wav,605.5,624.0,50,-50,2
624.0-0.wav,614.75-1.wav,624.0,614.75,25,-25,1
614.75-1.wav,624.0-0.wav,614.75,624.0,25,-25,2
624.0-0.wav,624.0-0.wav,624.0,624.0,0,0,2
624.0-0.wav,624.0-0.wav,624.0,624.0,0,0,2
624.0-0.wav,632.75-3.wav,624.0,632.75,25,25,2
632.75-3.wav,624.0-0.wav,632.75,624.0,25,25,1
624.0-0.wav,641.5-2.wav,624.0,641.5,50,50,2
641.5-2.wav,624.0-0.wav,641.5,624.0,50,50,1
624.0-0.wav,650.25-1.wav,624.0,650.25,75,75,2
650.25-1.wav,624.0-0.wav,650.25,624.0,75,75,1
624.0-0.wav,659.0-0.wav,624.0,659.0,100,100,2
659.0-0.wav,624.0-0.wav,659.0,624.0,100,100,1
